danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,class
0.572,0.532,0,-6.844,1,0.0316,0.214,0,0.284,0.607,76.033,spotify:track:6rZwsNzGS7nq8qILqdM9kX,252267,4,good
0.565,0.437,6,-7.68,0,0.0403,0.194,0.00000714,0.0656,0.217,96.132,spotify:track:5P3yUXUC9rZPJPNmYGKEAz,236733,3,good
0.587,0.525,9,-9.257,0,0.198,0.099,0.00025,0.557,0.323,90.356,spotify:track:3ZGrUoFhNCWmm6sbFAuktX,241320,4,good
0.443,0.157,7,-12.818,1,0.0382,0.757,0,0.113,0.401,139.953,spotify:track:4JuYMhZk1SfhImtaHO3Sh6,194680,3,good
0.537,0.89,5,-5.191,1,0.0488,0.117,0.0000205,0.279,0.597,114.088,spotify:track:2Zd9awmsA8KuF65snhz7YH,231387,4,good
0.342,0.28,0,-11.687,1,0.0312,0.861,0.0000151,0.148,0.226,134.244,spotify:track:1qV1hIUG7rLQPV8pCcJ5mo,244013,4,good
0.514,0.725,2,-6.19,1,0.0375,0.406,0.0000185,0.133,0.294,126.846,spotify:track:2PlN8GPrDTPc1xHncrn0jc,263448,4,good
0.398,0.0933,0,-11.879,1,0.0442,0.958,0.00000463,0.0893,0.185,81.76,spotify:track:1XmdB9Kha5e5H4PfTSmewn,253892,3,good
0.397,0.551,4,-9.734,0,0.0479,0.712,0,0.205,0.599,128.022,spotify:track:6eKdhTtOljXy6wDHhQSbod,172107,4,good
0.599,0.67,5,-5.64,1,0.059,0.169,0,0.633,0.394,105.065,spotify:track:5VF6OStYFWd5QTpxTvDXCU,229307,4,good
0.474,0.544,4,-7.799,1,0.0314,0.549,0,0.108,0.102,75.977,spotify:track:2xtgaxm8J9Jh2rr5M7ZLFJ,188653,4,good
0.661,0.689,7,-4.869,1,0.0431,0.095,0,0.0852,0.778,149.943,spotify:track:3uc0lXsafsoQIhhHzyt58m,186933,4,good
0.58,0.6,0,-8.944,1,0.0443,0.0278,0.452,0.225,0.197,136.028,spotify:track:32DVkbUeXqiQo7Q9vRGOIw,219800,4,good
0.599,0.788,8,-6.25,0,0.0294,0.263,0.00525,0.155,0.581,100.001,spotify:track:1dYw8HTRJnFpeEeMtXj99a,229933,3,good
0.615,0.911,1,-3.584,0,0.0278,0.0686,0.00188,0.0908,0.685,108,spotify:track:1r1fPuhj9H4VdXr7OK6FL5,205400,4,good
0.565,0.603,9,-8.597,1,0.0329,0.324,0.0000487,0.195,0.132,104,spotify:track:0m7mTaFGMiKI3rBJpYknip,233133,4,good
0.58,0.263,10,-10.814,0,0.0487,0.977,0.000197,0.111,0.382,126.442,spotify:track:13hrGHrNVZ2QC6WMu6hdys,214203,4,good
0.599,0.36,5,-10.347,0,0.032,0.633,0.0000544,0.0849,0.0956,130.029,spotify:track:5pLpkaIRobcvPnUmclNv6o,180120,4,good
0.549,0.311,2,-11.015,0,0.0434,0.741,0.0000141,0.306,0.178,87.866,spotify:track:0Hh08dFIrYeC1kBYXr6IkW,228255,4,good
0.715,0.838,2,-6.077,0,0.118,0.0897,0,0.15,0.497,120.007,spotify:track:4Oyl6oYSNeeZZP0OAxPVaU,240080,4,good
0.715,0.744,1,-5.047,1,0.0398,0.0169,0.00787,0.128,0.648,125.949,spotify:track:2wMCXQNJ3gkgFSY9jbQy9i,229822,4,good
0.675,0.78,11,-5.696,1,0.045,0.0143,0.0000155,0.0822,0.86,144.965,spotify:track:6iXHdoxYWDuuacnffO2fzb,187583,4,good
0.596,0.827,5,-4.402,1,0.0372,0.0242,0,0.0958,0.329,115.034,spotify:track:6liNJDyWJjyHAgDnAX95bw,249382,4,good
0.447,0.607,1,-7.717,0,0.0386,0.0199,0.00202,0.104,0.0663,119.934,spotify:track:2irUTCRpTHbAAVadDVWgm1,340280,4,good
0.485,0.562,0,-6.446,1,0.03,0.0544,0.0108,0.151,0.489,170.204,spotify:track:2TXz4iGa6nqrufbz0PaYJP,192840,4,good
0.397,0.215,6,-11.96,1,0.221,0.85,0,0.403,0.229,71.301,spotify:track:6DGfMKCkEMbLECSaATk8xv,185804,4,good
0.664,0.373,4,-8.132,0,0.0346,0.692,0.0000227,0.0941,0.189,86.143,spotify:track:2UonPYDoqpUZxoJUHWCgtP,210369,4,good
0.603,0.601,0,-7.511,1,0.126,0.00225,0.0358,0.123,0.239,103.985,spotify:track:0oH6dm5Mc0zzUfe8NERSvL,262853,4,good
0.549,0.949,2,-4.793,1,0.11,0.0918,0,0.0945,0.631,137.976,spotify:track:2UgmULNYP8iHNmKTn45vnt,172320,4,good
0.509,0.629,0,-6.434,1,0.0335,0.209,0.00000199,0.369,0.237,80.012,spotify:track:0sp00HSXkQyqTa6QqM0O8V,209307,4,good
0.732,0.396,4,-9.348,0,0.0286,0.0841,0.0000358,0.105,0.548,90.024,spotify:track:6i0V12jOa3mr6uu4WYhUBr,195920,4,good
0.254,0.857,11,-4.213,1,0.0604,0.0184,0,0.0767,0.293,92.328,spotify:track:2eQOMQkStoRUQyq6HGh1iG,173093,4,good
0.411,0.581,6,-6.237,0,0.0419,0.669,0.000108,0.1,0.111,169.978,spotify:track:5WZh4sv62fSXNgmhb1aU0C,149897,4,good
0.422,0.406,2,-6.287,0,0.033,0.297,0.0827,0.262,0.0624,155.633,spotify:track:3deUFJzGwnWTsTel4EeEeV,240936,4,good
0.461,0.724,8,-3.809,0,0.0634,0.136,0,0.0513,0.713,145.914,spotify:track:14D7lcBIKIyEnJneOznFUW,184192,4,good
0.658,0.527,2,-5.759,1,0.0275,0.00715,0.000862,0.0879,0.394,111,spotify:track:4AzZwo6ePXKfZni9FWoXmB,273229,4,good
0.436,0.0567,11,-25.65,0,0.158,0.857,0.0000057,0.13,0.379,176.428,spotify:track:7AuVmE2RMpRCKkzNRxziwq,235320,4,good
0.377,0.375,8,-13.364,1,0.0505,0.938,0.0491,0.108,0.0712,122.431,spotify:track:2Czp64BykWyWfIssRXQZvT,249228,4,good
0.662,0.894,1,-4.532,1,0.032,0.0778,0.8,0.166,0.962,116.224,spotify:track:1zsLsChXQ74vOkXfgk1Qs6,161680,4,good
0.593,0.709,0,-10.076,1,0.743,0.895,0,0.11,0.403,72.483,spotify:track:54T03oRpJn36vaglmAgcGw,164827,4,good
0.487,0.961,4,-4.139,1,0.132,0.0415,0.00000115,0.553,0.323,170.005,spotify:track:01pOtDU5YHWbxuNBzlRUem,231680,4,good
